samplename,nameid,function entity,property name,property type,function type,function description,full description,abstract,link
Copied Sample 2021,97288194,small molecule,Cy5-NHS ester,NaN,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
Copied Sample 2021,97288194,biopolymer,COVA(257-264)(Cy5),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
SKIRC_GE_CU-BYooBioorgMedChem2015-03,94568452,small molecule,dMG,NaN,therapeutic function,EGFR tyrosine kinase inhibitor,NaN,"The physicochemical design and synthesis of effective cancer-directed and particle-based nanotherapeutic
imaging agents remains a challenging task. Of critical importance is the ability to demonstrate maximum
delivery, retention, and treatment efficacy for platforms designed to deposit their cargo at sites of
disease without attendant dose-limiting toxicity. In this work, we describe dual-modality nanoparticle
drug conjugates (NDCs) which utilize protease sensitive linkers to attached drug compounds and imaging
labels to a clinically translated class of ultrasmall silica nanoparticle (C0 dots). We describe the synthesis
and characterization of these linker-drug constructs. Linkers incorporating dipeptide enzyme substrates
are attached to analogs of a prototypical epidermal growth factor receptor tyrosine kinase inhibitor
(EGFR-TKI), through a cleavable amide bond or para-aminobenzyloxycarbonyl (PABC) group. These constructs
are conjugated onto C0 dots leading to the desired NDCs. These NDCs exhibit fast and predictable
release kinetics in the presence of model proteases and are stable in various biological media. Finally,
in vitro assays show NDCs to be highly active in reducing phosphorylated EGFR levels in H1650 cells, a
human tumor-derived cell line. The data suggest that NDCs exhibit desirable properties that warrant
further development toward oncological therapy.",https://www.ncbi.nlm.nih.gov/pubmed/26462054
SKIRC_GE_CU-BYooBioorgMedChem2015-02,94568453,small molecule,mal-Cy5,NaN,imaging function,,NaN,"The physicochemical design and synthesis of effective cancer-directed and particle-based nanotherapeutic
imaging agents remains a challenging task. Of critical importance is the ability to demonstrate maximum
delivery, retention, and treatment efficacy for platforms designed to deposit their cargo at sites of
disease without attendant dose-limiting toxicity. In this work, we describe dual-modality nanoparticle
drug conjugates (NDCs) which utilize protease sensitive linkers to attached drug compounds and imaging
labels to a clinically translated class of ultrasmall silica nanoparticle (C0 dots). We describe the synthesis
and characterization of these linker-drug constructs. Linkers incorporating dipeptide enzyme substrates
are attached to analogs of a prototypical epidermal growth factor receptor tyrosine kinase inhibitor
(EGFR-TKI), through a cleavable amide bond or para-aminobenzyloxycarbonyl (PABC) group. These constructs
are conjugated onto C0 dots leading to the desired NDCs. These NDCs exhibit fast and predictable
release kinetics in the presence of model proteases and are stable in various biological media. Finally,
in vitro assays show NDCs to be highly active in reducing phosphorylated EGFR levels in H1650 cells, a
human tumor-derived cell line. The data suggest that NDCs exhibit desirable properties that warrant
further development toward oncological therapy.",https://www.ncbi.nlm.nih.gov/pubmed/26462054
SKIRC_GE_CU-BYooBioorgMedChem2015-01,94568451,small molecule,mal-Cy5,NaN,imaging function,,NaN,"The physicochemical design and synthesis of effective cancer-directed and particle-based nanotherapeutic
imaging agents remains a challenging task. Of critical importance is the ability to demonstrate maximum
delivery, retention, and treatment efficacy for platforms designed to deposit their cargo at sites of
disease without attendant dose-limiting toxicity. In this work, we describe dual-modality nanoparticle
drug conjugates (NDCs) which utilize protease sensitive linkers to attached drug compounds and imaging
labels to a clinically translated class of ultrasmall silica nanoparticle (C0 dots). We describe the synthesis
and characterization of these linker-drug constructs. Linkers incorporating dipeptide enzyme substrates
are attached to analogs of a prototypical epidermal growth factor receptor tyrosine kinase inhibitor
(EGFR-TKI), through a cleavable amide bond or para-aminobenzyloxycarbonyl (PABC) group. These constructs
are conjugated onto C0 dots leading to the desired NDCs. These NDCs exhibit fast and predictable
release kinetics in the presence of model proteases and are stable in various biological media. Finally,
in vitro assays show NDCs to be highly active in reducing phosphorylated EGFR levels in H1650 cells, a
human tumor-derived cell line. The data suggest that NDCs exhibit desirable properties that warrant
further development toward oncological therapy.",https://www.ncbi.nlm.nih.gov/pubmed/26462054
NEW SAMPLE CUT,94142464,Fluorophore,tt,NaN,Adjuvant,tt,NaN,NaN,NaN
UNMC_VanderbiltU-YWangACSAMI2020-14,88932356,small molecule,ICG,NaN,imaging function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-14,88932356,biopolymer,iRGD,peptide,targeting function,"interacts with av integrins and neuropilin-1 receptor; after binding to integrins, the peptide exposes the RXXK/R motif for neuropilin-1 (NRP-1) receptor, which induces further penetration into tumor area and cells",NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-13,89784322,small molecule,ICG,NaN,imaging function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-13,89784322,biopolymer,siNC,siRNA,targeting function,noncomplementary targeting,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-12,89784321,small molecule,ICG,NaN,imaging function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-12,89784321,biopolymer,siPlk1,siRNA,targeting function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-11,88932362,small molecule,ICG,NaN,imaging function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
